SECTION,SUB-SECTION,FIELD,CURRENT CONTENT,YOUR REPLACEMENT
ASSESSMENT — READINESS,Result Band 1 (score 8–14),Detail,"Significant foundations need to be built before agent deployment is viable. The AiGENTiA AI Readiness Audit will produce a clear, prioritised roadmap — identifying the highest-impact investments and the blockers to address first. Beginning with assessment rather than implementation is the right move at this stage.",
ASSESSMENT — READINESS,Result Band 2 (score 15–22),Band name,Developing,
ASSESSMENT — READINESS,Result Band 2 (score 15–22),Summary,"Real foundations exist, but gaps remain.",
ASSESSMENT — READINESS,Result Band 2 (score 15–22),Detail,"Your organisation has genuine capability in some dimensions, but critical gaps in others. A full AI Readiness Audit will identify exactly where to invest for maximum impact. Agent Architecture & Design — building the blueprint before touching code — is the right next step once those gaps are mapped.",
ASSESSMENT — READINESS,Result Band 3 (score 23–28),Band name,Advanced,
ASSESSMENT — READINESS,Result Band 3 (score 23–28),Summary,Your organisation is positioned for structured deployment.,
ASSESSMENT — READINESS,Result Band 3 (score 23–28),Detail,"Strong foundations across most dimensions. The priority is now controlled, well-governed implementation — using the Assess→Design→Deploy methodology to ensure agents are deployed at the right scope and with the right oversight. An AI Governance & Safety framework should be established in parallel.",
ASSESSMENT — READINESS,Result Band 4 (score 29–32),Band name,AI-Ready,
ASSESSMENT — READINESS,Result Band 4 (score 29–32),Summary,Your organisation is primed for full agent deployment.,
ASSESSMENT — READINESS,Result Band 4 (score 29–32),Detail,"You have the people, data, infrastructure and governance posture to move with confidence. The focus is now architecture quality and performance management — ensuring the agents you deploy are well-designed, well-monitored, and continuously aligned with business objectives.",
,,,,
ASSESSMENT — FINANCE,Assessment Header,Title,AI FINANCE ASSESSMENT,
ASSESSMENT — FINANCE,Assessment Header,Subtitle,"Model your investment, identify funding, and set realistic expectations.",
ASSESSMENT — FINANCE,Q1 — Investment Capacity,Question text,What is your estimated annual budget for AI transformation?,
ASSESSMENT — FINANCE,Q1 — Investment Capacity,Option A,Under €50;000 — exploring with very limited budget,
ASSESSMENT — FINANCE,Q1 — Investment Capacity,Option B,€50;000–€250;000 — meaningful but constrained investment,
ASSESSMENT — FINANCE,Q1 — Investment Capacity,Option C,€250;000–€1;000;000 — dedicated programme budget,
ASSESSMENT — FINANCE,Q1 — Investment Capacity,Option D,Over €1;000;000 — substantial multi-year investment,
ASSESSMENT — FINANCE,Q2 — Investment Capacity,Question text,How is AI transformation currently funded in your organisation?,
ASSESSMENT — FINANCE,Q2 — Investment Capacity,Option A,No dedicated budget — funded ad hoc or not at all,
ASSESSMENT — FINANCE,Q2 — Investment Capacity,Option B,Internal capex only — no external funding explored,
ASSESSMENT — FINANCE,Q2 — Investment Capacity,Option C,Mix of capex and opex — some programme structure in place,
ASSESSMENT — FINANCE,Q2 — Investment Capacity,Option D,Multi-source strategy — grants; opex; reallocation all considered,
ASSESSMENT — FINANCE,Q3 — ROI Expectations,Question text,What is your target payback period for AI investment?,
ASSESSMENT — FINANCE,Q3 — ROI Expectations,Option A,Under 12 months — rapid ROI required to justify spend,
ASSESSMENT — FINANCE,Q3 — ROI Expectations,Option B,12–18 months — moderate time horizon acceptable,
ASSESSMENT — FINANCE,Q3 — ROI Expectations,Option C,18–36 months — strategic investment with medium-term return,
ASSESSMENT — FINANCE,Q3 — ROI Expectations,Option D,36+ months or flexible — long-term capability building,
ASSESSMENT — FINANCE,Q4 — ROI Expectations,Question text,What is your primary AI ROI objective?,
ASSESSMENT — FINANCE,Q4 — ROI Expectations,Option A,Cost reduction — automating processes; reducing operational spend,
ASSESSMENT — FINANCE,Q4 — ROI Expectations,Option B,Revenue enhancement — faster cycles; better customer experience,
ASSESSMENT — FINANCE,Q4 — ROI Expectations,Option C,Risk reduction — compliance; error reduction; audit costs,
ASSESSMENT — FINANCE,Q4 — ROI Expectations,Option D,All three — an integrated transformation programme,
ASSESSMENT — FINANCE,Q5 — Financial Readiness,Question text,Have you explored external funding mechanisms for AI transformation?,
ASSESSMENT — FINANCE,Q5 — Financial Readiness,Option A,Not at all — unaware of available programmes,
ASSESSMENT — FINANCE,Q5 — Financial Readiness,Option B,Aware but not pursued — know options exist; have not applied,
ASSESSMENT — FINANCE,Q5 — Financial Readiness,Option C,Currently exploring — applications in progress or planned,
ASSESSMENT — FINANCE,Q5 — Financial Readiness,Option D,Already benefiting — grants or loans secured and deployed,
ASSESSMENT — FINANCE,Result Band 1 (score 5–8),Band name,Constrained,
ASSESSMENT — FINANCE,Result Band 1 (score 5–8),Summary,Significant funding constraints identified.,
ASSESSMENT — FINANCE,Result Band 1 (score 5–8),Detail,"Your current budget and timeline expectations create real constraints for a comprehensive AI transformation programme. The good news: EU Horizon Europe, UK Innovate UK and German KfW programmes offer meaningful grant and loan funding for qualifying organisations. A Finance Assessment engagement will identify the funding mechanisms available to you and design a phased approach that works within your constraints.",
ASSESSMENT — FINANCE,Result Band 2 (score 9–13),Band name,Developing,
ASSESSMENT — FINANCE,Result Band 2 (score 9–13),Summary,Budget is available — structure and phasing are the priority.,
ASSESSMENT — FINANCE,Result Band 2 (score 9–13),Detail,"You have meaningful investment capacity, but the programme needs to be structured carefully to deliver ROI within your timeline. A phased approach — beginning with Assess and Design — maximises the return on early investment and builds the evidence base for subsequent phases. External funding programmes may also supplement your budget meaningfully.",
ASSESSMENT — FINANCE,Result Band 3 (score 14–17),Band name,Ready to Invest,
ASSESSMENT — FINANCE,Result Band 3 (score 14–17),Summary,Investment capacity supports a comprehensive programme.,
ASSESSMENT — FINANCE,Result Band 3 (score 14–17),Detail,"Your budget, timeline and ROI objectives are well-aligned for a full Assess→Design→Deploy engagement. The priority is ensuring investment is allocated correctly — front-loading governance and architecture before implementation to avoid the costly rework that comes from deploying without adequate design.",
ASSESSMENT — FINANCE,Result Band 4 (score 18–20),Band name,Strategic Investor,
ASSESSMENT — FINANCE,Result Band 4 (score 18–20),Summary,Full-scale transformation programme is viable.,
ASSESSMENT — FINANCE,Result Band 4 (score 18–20),Detail,"You have the investment capacity, strategic patience and multi-source funding approach for a comprehensive, multi-year AI transformation programme. The focus should be on governance infrastructure and programme management — ensuring that investment at this scale produces proportionate, measurable returns with appropriate oversight.",
,,,,
ASSESSMENT — TOKENIZATION,Assessment Header,Title,AI TOKEN ECONOMICS ASSESSMENT,
ASSESSMENT — TOKENIZATION,Assessment Header,Subtitle,Understand your token consumption and take control of AI operating costs.,
ASSESSMENT — TOKENIZATION,Q1 — Current Usage,Question text,Does your organisation currently use commercial AI APIs (OpenAI; Anthropic; Google; etc.)?,
ASSESSMENT — TOKENIZATION,Q1 — Current Usage,Option A,No — AI APIs are not yet in use,
ASSESSMENT — TOKENIZATION,Q1 — Current Usage,Option B,Experimental — used by individuals; not in workflows,
ASSESSMENT — TOKENIZATION,Q1 — Current Usage,Option C,Regular use — integrated into business workflows,
ASSESSMENT — TOKENIZATION,Q1 — Current Usage,Option D,Production scale — high-volume; mission-critical deployment,
ASSESSMENT — TOKENIZATION,Q2 — Current Usage,Question text,What is your current estimated monthly AI API spend?,
ASSESSMENT — TOKENIZATION,Q2 — Current Usage,Option A,Nothing yet — no current spend,
ASSESSMENT — TOKENIZATION,Q2 — Current Usage,Option B,Under €500/month — early exploration stage,
ASSESSMENT — TOKENIZATION,Q2 — Current Usage,Option C,€500–€5;000/month — meaningful but manageable costs,
ASSESSMENT — TOKENIZATION,Q2 — Current Usage,Option D,Over €5;000/month — significant operational cost line,
ASSESSMENT — TOKENIZATION,Q3 — Cost Visibility,Question text,How much visibility does your organisation have into AI API costs?,
ASSESSMENT — TOKENIZATION,Q3 — Cost Visibility,Option A,No visibility — costs are unknown or unchecked,
ASSESSMENT — TOKENIZATION,Q3 — Cost Visibility,Option B,Basic billing review — someone checks invoices periodically,
ASSESSMENT — TOKENIZATION,Q3 — Cost Visibility,Option C,Tracked but not optimised — costs are monitored but not managed,
ASSESSMENT — TOKENIZATION,Q3 — Cost Visibility,Option D,Fully monitored — dashboards; alerts and optimisation in place,
ASSESSMENT — TOKENIZATION,Q4 — Token Governance,Question text,Do you have per-agent or per-workflow token budgets defined?,
ASSESSMENT — TOKENIZATION,Q4 — Token Governance,Option A,No concept of token budgets — never been addressed,
ASSESSMENT — TOKENIZATION,Q4 — Token Governance,Option B,Aware of the concept — not yet implemented,
ASSESSMENT — TOKENIZATION,Q4 — Token Governance,Option C,Partially implemented — token budgets in some areas,
ASSESSMENT — TOKENIZATION,Q4 — Token Governance,Option D,"Full token governance — hard limits, routing and alerts in place",
ASSESSMENT — TOKENIZATION,Q5 — Model Strategy,Question text,How does your organisation currently select AI models for different tasks?,
ASSESSMENT — TOKENIZATION,Q5 — Model Strategy,Option A,Use only one model — the same model for everything,
ASSESSMENT — TOKENIZATION,Q5 — Model Strategy,Option B,By familiarity — use what the team already knows,
ASSESSMENT — TOKENIZATION,Q5 — Model Strategy,Option C,Basic comparison — some performance evaluation before selection,
ASSESSMENT — TOKENIZATION,Q5 — Model Strategy,Option D,Cost-performance routing — right model for each task type,
ASSESSMENT — TOKENIZATION,Result Band 1 (score 5–8),Band name,Unaware,
ASSESSMENT — TOKENIZATION,Result Band 1 (score 5–8),Summary,Token economics is a blind spot.,
ASSESSMENT — TOKENIZATION,Result Band 1 (score 5–8),Detail,"As you begin AI adoption, establishing cost visibility from day one will prevent significant overspend at scale. Organisations that start without token governance consistently discover unexpected cost escalation when usage grows. The AiGENTiA AI Readiness Assessment includes a token economics framework as a standard component.",
ASSESSMENT — TOKENIZATION,Result Band 2 (score 9–13),Band name,Aware,
ASSESSMENT — TOKENIZATION,Result Band 2 (score 9–13),Summary,Awareness exists — governance does not.,
ASSESSMENT — TOKENIZATION,Result Band 2 (score 9–13),Detail,"You understand that token costs matter but have not yet built the structures to control them. This is a common inflection point: organisations in this position often see costs spike significantly when usage scales. An Agent Operating System with built-in resource management is the most effective intervention — establishing token budgets, model routing and cost alerts before scale creates pressure.",
ASSESSMENT — TOKENIZATION,Result Band 3 (score 14–17),Band name,Managing,
ASSESSMENT — TOKENIZATION,Result Band 3 (score 14–17),Summary,Active management in place — optimisation is the next step.,
ASSESSMENT — TOKENIZATION,Result Band 3 (score 14–17),Detail,"You are monitoring costs and have some control mechanisms in place. The opportunity now is optimisation: intelligent model routing (matching each task to the right model tier), context window compression and usage pattern analysis.",
ASSESSMENT — TOKENIZATION,Result Band 4 (score 18–20),Band name,Optimised,
ASSESSMENT — TOKENIZATION,Result Band 4 (score 18–20),Summary,Strong token governance in place.,
ASSESSMENT — TOKENIZATION,Result Band 4 (score 18–20),Detail,"You have built the cost visibility and control structures that most organisations lack. The focus now is strategic: ensuring your model portfolio evolves with the landscape (new models, new pricing structures, open-source alternatives) and that governance scales as agent deployment grows.",
